Panel,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,Thickness
C24-C25,BASE_PANEL,1698.0,9499.6,-705.0,-1897.5,9499.6,-55.5,-1897.5,10033.0,-55.5,-1897.5,10033.0,-705.0,-1897.5,12.3
C24-C25,SIDE PANEL_1,980.0,9499.6,-716.9,-1899.2,10033.0,-716.9,-1899.2,10033.0,-1048.2,-1723.4,9499.6,-1048.2,-1723.4,9.8
C24-C25,SIDE PANEL_2,980.0,9499.6,-1051.9,-1720.7,10033.0,-1051.9,-1720.7,10033.0,-1315.9,-1454.4,9499.6,-1315.9,-1454.4,9.8
C25-C26,BASE_PANEL,1666.0,10033.0,-705.0,-1897.5,10033.0,-55.5,-1897.5,10556.4,-55.5,-1897.5,10556.4,-705.0,-1897.5,12.3
C25-C26,SIDE PANEL_1,962.0,10033.0,-716.9,-1899.2,10556.4,-716.9,-1899.2,10556.4,-1048.2,-1723.4,10033.0,-1048.2,-1723.4,9.8
C25-C26,SIDE PANEL_2,962.0,10033.0,-1051.9,-1720.7,10556.4,-1051.9,-1720.7,10556.4,-1315.9,-1454.4,10033.0,-1315.9,-1454.4,9.8
C26-C27,BASE_PANEL,1729.0,10556.4,-705.0,-1897.5,10556.4,-55.5,-1897.5,11099.8,-55.5,-1897.5,11099.8,-705.0,-1897.5,12.3
C26-C27,SIDE PANEL_1,999.0,10556.4,-716.9,-1899.2,11099.8,-716.9,-1899.2,11099.8,-1048.2,-1723.4,10556.4,-1048.2,-1723.4,9.8
C26-C27,SIDE PANEL_2,998.0,10556.4,-1051.9,-1720.7,11099.8,-1051.9,-1720.7,11099.8,-1315.9,-1454.4,10556.4,-1315.9,-1454.4,9.8
C27-C28,BASE_PANEL,1698.0,11099.8,-705.0,-1897.5,11099.8,-55.5,-1897.5,11633.2,-55.5,-1897.5,11633.2,-705.0,-1897.5,12.3
C27-C28,SIDE PANEL_1,980.0,11099.8,-716.9,-1899.2,11633.2,-716.9,-1899.2,11633.2,-1048.2,-1723.4,11099.8,-1048.2,-1723.4,9.8
C27-C28,SIDE PANEL_2,980.0,11099.8,-1051.9,-1720.7,11633.2,-1051.9,-1720.7,11633.2,-1315.9,-1454.4,11099.8,-1315.9,-1454.4,9.8
C28-C29,BASE_PANEL,1698.0,11633.2,-705.0,-1897.5,11633.2,-55.5,-1897.5,12166.6,-55.5,-1897.5,12166.6,-705.0,-1897.5,12.3
C28-C29,SIDE PANEL_1,980.0,11633.2,-716.9,-1899.2,12166.6,-716.9,-1899.2,12166.6,-1048.2,-1723.4,11633.2,-1048.2,-1723.4,9.8
C28-C29,SIDE PANEL_2,980.0,11633.2,-1051.9,-1720.7,12166.6,-1051.9,-1720.7,12166.6,-1315.9,-1454.4,11633.2,-1315.9,-1454.4,9.8
C29-C30,BASE_PANEL,1698.0,12166.6,-705.0,-1897.5,12166.6,-55.5,-1897.5,12700.0,-55.5,-1897.5,12700.0,-705.0,-1897.5,12.3
C29-C30,SIDE PANEL_1,980.0,12166.6,-716.9,-1899.2,12700.0,-716.9,-1899.2,12700.0,-1048.2,-1723.4,12166.6,-1048.2,-1723.4,9.8
C29-C30,SIDE PANEL_2,980.0,12166.6,-1051.9,-1720.7,12700.0,-1051.9,-1720.7,12700.0,-1315.9,-1454.4,12166.6,-1315.9,-1454.4,9.8
C30-C31,BASE_PANEL,1698.0,12700.0,-705.0,-1897.5,12700.0,-55.5,-1897.5,13233.4,-55.5,-1897.5,13233.4,-705.0,-1897.5,12.3
C30-C31,SIDE PANEL_1,980.0,12700.0,-716.9,-1899.2,13233.4,-716.9,-1899.2,13233.4,-1048.2,-1723.4,12700.0,-1048.2,-1723.4,9.8
C30-C31,SIDE PANEL_2,980.0,12700.0,-1051.9,-1720.7,13233.4,-1051.9,-1720.7,13233.4,-1315.9,-1454.4,12700.0,-1315.9,-1454.4,9.8
C31-C32,BASE_PANEL,1698.0,13233.4,-705.0,-1897.5,13233.4,-55.5,-1897.5,13766.8,-55.5,-1897.5,13766.8,-705.0,-1897.5,12.3
C31-C32,SIDE PANEL_1,980.0,13233.4,-716.9,-1899.2,13766.8,-716.9,-1899.2,13766.8,-1048.2,-1723.4,13233.4,-1048.2,-1723.4,9.8
C31-C32,SIDE PANEL_2,980.0,13233.4,-1051.9,-1720.7,13766.8,-1051.9,-1720.7,13766.8,-1315.9,-1454.4,13233.4,-1315.9,-1454.4,9.8
C32-C33,BASE_PANEL,1698.0,13766.8,-705.0,-1897.5,13766.8,-55.5,-1897.5,14300.2,-55.5,-1897.5,14300.2,-705.0,-1897.5,12.3
C32-C33,SIDE PANEL_1,980.0,13766.8,-716.9,-1899.2,14300.2,-716.9,-1899.2,14300.2,-1048.2,-1723.4,13766.8,-1048.2,-1723.4,9.8
C32-C33,SIDE PANEL_2,980.0,13766.8,-1051.9,-1720.7,14300.2,-1051.9,-1720.7,14300.2,-1315.9,-1454.4,13766.8,-1315.9,-1454.4,9.8
C33-C34,BASE_PANEL,1698.0,14300.2,-705.0,-1897.5,14300.2,-55.5,-1897.5,14833.6,-55.5,-1897.5,14833.6,-705.0,-1897.5,12.3
C33-C34,SIDE PANEL_1,980.0,14300.2,-716.9,-1899.2,14833.6,-716.9,-1899.2,14833.6,-1048.2,-1723.4,14300.2,-1048.2,-1723.4,9.8
C33-C34,SIDE PANEL_2,980.0,14300.2,-1051.9,-1720.7,14833.6,-1051.9,-1720.7,14833.6,-1315.9,-1454.4,14300.2,-1315.9,-1454.4,9.8
C34-C35,BASE_PANEL,1697.6,14833.6,-705.0,-1897.5,14833.6,-55.5,-1897.5,15367.0,-55.5,-1897.5,15367.0,-705.0,-1897.5,12.3
C34-C35,SIDE PANEL_1,980.3,14833.6,-716.9,-1899.2,15367.0,-716.9,-1899.2,15367.0,-1048.2,-1723.4,14833.6,-1048.2,-1723.4,9.8
C34-C35,SIDE PANEL_2,980.1,14833.6,-1051.9,-1720.7,15367.0,-1051.9,-1720.7,15367.0,-1315.9,-1454.4,14833.6,-1315.9,-1454.4,9.8
