Frame,Strut,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,Thickness
C24,OBD_STRUT,WEB,27,9501.0,368.4,-1911.2,9501.0,331.6,-1911.2,9501.0,366.6,-2087.2,9501.0,403.4,-2087.2,1.6
C24,OBD_STRUT,IBD_FLANGE,19,9501.0,331.6,-1911.2,9526.0,331.6,-1911.2,9526.0,366.6,-2087.2,9501.0,366.6,-2087.2,-1.6
C24,OBD_STRUT,OBD_FLANGE,19,9501.0,368.4,-1911.2,9526.0,368.4,-1911.2,9526.0,403.4,-2087.2,9501.0,403.4,-2087.2,1.6
C24,MID_STRUT,WEB,46,9501.0,29.1,-1911.2,9501.0,-29.1,-1911.2,9501.0,83.3,-2123.0,9501.0,141.5,-2123.0,1.4
C24,MID_STRUT,IBD_FLANGE,16,9501.0,-29.1,-1911.2,9516.0,-29.1,-1911.2,9516.0,83.3,-2123.0,9501.0,83.3,-2123.0,-1.4
C24,MID_STRUT,OBD_FLANGE,16,9501.0,29.1,-1911.2,9516.0,29.1,-1911.2,9516.0,141.5,-2123.0,9501.0,141.5,-2123.0,1.4
C25,OBD_STRUT,WEB,27,10034.4,368.4,-1911.2,10034.4,331.6,-1911.2,10034.4,366.6,-2087.2,10034.4,403.4,-2087.2,1.6
C25,OBD_STRUT,IBD_FLANGE,19,10034.4,331.6,-1911.2,10059.4,331.6,-1911.2,10059.4,366.6,-2087.2,10034.4,366.6,-2087.2,-1.6
C25,OBD_STRUT,OBD_FLANGE,19,10034.4,368.4,-1911.2,10059.4,368.4,-1911.2,10059.4,403.4,-2087.2,10034.4,403.4,-2087.2,1.6
C25,MID_STRUT,WEB,46,10034.4,30.5,-1911.2,10034.4,-30.5,-1911.2,10034.4,81.9,-2087.2,10034.4,142.9,-2087.2,1.4
C25,MID_STRUT,IBD_FLANGE,16,10034.4,-30.5,-1911.2,10049.4,-30.5,-1911.2,10049.4,81.9,-2087.2,10034.4,81.9,-2087.2,-1.4
C25,MID_STRUT,OBD_FLANGE,16,10034.4,30.5,-1911.2,10049.4,30.5,-1911.2,10049.4,142.9,-2087.2,10034.4,142.9,-2087.2,1.4
C26,OBD_STRUT,WEB,27,10557.8,368.4,-1911.2,10557.8,331.6,-1911.2,10557.8,366.6,-2087.2,10557.8,403.4,-2087.2,1.6
C26,OBD_STRUT,IBD_FLANGE,19,10557.8,331.6,-1911.2,10582.8,331.6,-1911.2,10582.8,366.6,-2087.2,10557.8,366.6,-2087.2,-1.6
C26,OBD_STRUT,OBD_FLANGE,19,10557.8,368.4,-1911.2,10582.8,368.4,-1911.2,10582.8,403.4,-2087.2,10557.8,403.4,-2087.2,1.6
C26,MID_STRUT,WEB,46,10557.8,30.5,-1911.2,10557.8,-30.5,-1911.2,10557.8,81.9,-2087.2,10557.8,142.9,-2087.2,1.4
C26,MID_STRUT,IBD_FLANGE,16,10557.8,-30.5,-1911.2,10572.8,-30.5,-1911.2,10572.8,81.9,-2087.2,10557.8,81.9,-2087.2,-1.4
C26,MID_STRUT,OBD_FLANGE,16,10557.8,30.5,-1911.2,10572.8,30.5,-1911.2,10572.8,142.9,-2087.2,10557.8,142.9,-2087.2,1.4
C27,OBD_STRUT,WEB,27,11101.2,368.4,-1911.2,11101.2,331.6,-1911.2,11101.2,366.6,-2087.2,11101.2,403.4,-2087.2,1.6
C27,OBD_STRUT,IBD_FLANGE,19,11101.2,331.6,-1911.2,11126.2,331.6,-1911.2,11126.2,366.6,-2087.2,11101.2,366.6,-2087.2,-1.6
C27,OBD_STRUT,OBD_FLANGE,19,11101.2,368.4,-1911.2,11126.2,368.4,-1911.2,11126.2,403.4,-2087.2,11101.2,403.4,-2087.2,1.6
