Frame,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,Thickness,Area_mm2,Volume_mm3
SIDE_PANEL_FQDs,1,488.97624375,19634.2,-262.5,-2143.4562834914755,19975.5125,-262.5,-2143.4562834914755,19975.5125,-262.5,-1918.4562834914755,19634.2,-262.5,-1918.4562834914755,-2.5,76792.5,172783.125
SIDE_PANEL_FQDs,2,782.36199,19975.5125,-262.5,-2143.4562834914755,20316.825,-262.5,-2143.4562834914755,20316.825,-262.5,-1918.4562834914755,19975.5125,-262.5,-1918.4562834914755,-4.0,76792.5,276453.0
SIDE_PANEL_FQDs,3,782.36199,20316.825,-262.5,-2143.4562834914755,20658.1375,-262.5,-2143.4562834914755,20658.1375,-262.5,-1918.4562834914755,20316.825,-262.5,-1918.4562834914755,-4.0,76792.5,276453.0
SIDE_PANEL_FQDs,4,782.59122,20658.1375,-262.5,-2143.4562834914755,20999.45,-262.5,-2143.4562834914755,20999.45,-262.5,-1918.4562834914755,20658.1375,-262.5,-1918.4562834914755,-4.0,76815.0,276534.0
SIDE_PANEL_FQDs,5,782.36199,20999.45,-262.5,-2143.4562834914755,21340.7625,-262.5,-2143.4562834914755,21340.7625,-262.5,-1918.4562834914755,20999.45,-262.5,-1918.4562834914755,-4.0,76792.5,276453.0
SIDE_PANEL_FQDs,6,782.36199,21340.7625,-262.5,-2143.4562834914755,21682.075,-262.5,-2143.4562834914755,21682.075,-262.5,-1918.4562834914755,21340.7625,-262.5,-1918.4562834914755,-4.0,76792.5,276453.0
SIDE_PANEL_FQDs,7,782.36199,21682.075,-262.5,-2143.4562834914755,22023.3875,-262.5,-2143.4562834914755,22023.3875,-262.5,-1918.4562834914755,21682.075,-262.5,-1918.4562834914755,-4.0,76792.5,276453.0
SIDE_PANEL_FQDs,8,977.9524875,22023.3875,-262.5,-2143.4562834914755,22364.7,-262.5,-2143.4562834914755,22364.7,-262.5,-1918.4562834914755,22023.3875,-262.5,-1918.4562834914755,-5.0,76792.5,345566.25
SIDE_PANEL_FQDs,9,977.9524875,22364.7,-262.5,-2143.4562834914755,22706.0125,-262.5,-2143.4562834914755,22706.0125,-262.5,-1918.4562834914755,22364.7,-262.5,-1918.4562834914755,-5.0,76792.5,345566.25
SIDE_PANEL_FQDs,10,977.9524875,22706.0125,-262.5,-2143.4562834914755,23047.325,-262.5,-2143.4562834914755,23047.325,-262.5,-1918.4562834914755,22706.0125,-262.5,-1918.4562834914755,-5.0,76792.5,345566.25
SIDE_PANEL_FQDs,11,977.9524875,23047.325,-262.5,-2143.4562834914755,23388.6375,-262.5,-2143.4562834914755,23388.6375,-262.5,-1918.4562834914755,23047.325,-262.5,-1918.4562834914755,-5.0,76792.5,345566.25
SIDE_PANEL_FQDs,12,1369.534635,23388.6375,-262.5,-2143.4562834914755,23729.95,-262.5,-2143.4562834914755,23729.95,-262.5,-1918.4562834914755,23388.6375,-262.5,-1918.4562834914755,-7.0,76815.0,483934.5
SIDE_PANEL_FQDs,13,1369.1334825000001,23729.95,-262.5,-2143.4562834914755,24071.2625,-262.5,-2143.4562834914755,24071.2625,-262.5,-1918.4562834914755,23729.95,-262.5,-1918.4562834914755,-7.0,76792.5,483792.75
SIDE_PANEL_FQDs,14,1369.1334825000001,24071.2625,-262.5,-2143.4562834914755,24412.575,-262.5,-2143.4562834914755,24412.575,-262.5,-1918.4562834914755,24071.2625,-262.5,-1918.4562834914755,-7.0,76792.5,483792.75
SIDE_PANEL_FQDs,15,1369.1334825000001,24412.575,-262.5,-2143.4562834914755,24753.8875,-262.5,-2143.4562834914755,24753.8875,-262.5,-1918.4562834914755,24412.575,-262.5,-1918.4562834914755,-7.0,76792.5,483792.75
SIDE_PANEL_FQDs,16,1369.1334825000001,24753.8875,-262.5,-2143.4562834914755,25095.2,-262.5,-2143.4562834914755,25095.2,-262.5,-1918.4562834914755,24753.8875,-262.5,-1918.4562834914755,-7.0,76792.5,483792.75
SIDE PANEL EXTENSIONS,17,3911.9373,21682.075,-262.5,-1918.4562834914755,23729.95,-262.5,-1918.4562834914755,23047.325,-262.5,-1718.4562834914755,22023.3875,-262.5,-1718.4562834914755,-5.0,307180.0,1382310.0
SIDE PANEL EXTENSIONS,18,160.461,22023.3875,-257.5,-1718.4562834914755,22023.3875,-257.5,-1918.4562834914755,22023.3875,0.0,-1918.4562834914755,22023.3875,0.0,-1718.4562834914755,-1.2,52500.0,56700.0
