Frame,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,Thickness,Area_mm2,Volume_mm3
TOP PANEL,1,405.66918,19634.2,-262.5,-1918.4562834914755,19975.5125,-262.5,-1918.4562834914755,19975.5125,0.0,-1918.4562834914755,19634.2,0.0,-1918.4562834914755,-2.0,89591.25,143346.0
TOP PANEL,2,405.66918,19975.5125,-262.5,-1918.4562834914755,20316.825,-262.5,-1918.4562834914755,20316.825,0.0,-1918.4562834914755,19975.5125,0.0,-1918.4562834914755,-2.0,89591.25,143346.0
TOP PANEL,3,405.66918,20316.825,-262.5,-1918.4562834914755,20658.1375,-262.5,-1918.4562834914755,20658.1375,0.0,-1918.4562834914755,20316.825,0.0,-1918.4562834914755,-2.0,89591.25,143346.0
TOP PANEL,4,405.78804,20658.1375,-262.5,-1918.4562834914755,20999.45,-262.5,-1918.4562834914755,20999.45,0.0,-1918.4562834914755,20658.1375,0.0,-1918.4562834914755,-2.0,89617.5,143388.0
TOP PANEL,5,405.66918,20999.45,-262.5,-1918.4562834914755,21340.7625,-262.5,-1918.4562834914755,21340.7625,0.0,-1918.4562834914755,20999.45,0.0,-1918.4562834914755,-2.0,89591.25,143346.0
TOP PANEL,6,405.66918,21340.7625,-262.5,-1918.4562834914755,21682.075,-262.5,-1918.4562834914755,21682.075,0.0,-1918.4562834914755,21340.7625,0.0,-1918.4562834914755,-2.0,89591.25,143346.0
TOP PANEL,7,608.50377,21682.075,-262.5,-1918.4562834914755,22023.3875,-262.5,-1918.4562834914755,22023.3875,0.0,-1918.4562834914755,21682.075,0.0,-1918.4562834914755,-3.0,89591.25,215019.0
TOP PANEL,8,608.50377,22023.3875,-262.5,-1918.4562834914755,22364.7,-262.5,-1918.4562834914755,22364.7,0.0,-1918.4562834914755,22023.3875,0.0,-1918.4562834914755,-3.0,89591.25,215019.0
TOP PANEL,9,608.50377,22364.7,-262.5,-1918.4562834914755,22706.0125,-262.5,-1918.4562834914755,22706.0125,0.0,-1918.4562834914755,22364.7,0.0,-1918.4562834914755,-3.0,89591.25,215019.0
TOP PANEL,10,608.50377,22706.0125,-262.5,-1918.4562834914755,23047.325,-262.5,-1918.4562834914755,23047.325,0.0,-1918.4562834914755,22706.0125,0.0,-1918.4562834914755,-3.0,89591.25,215019.0
TOP PANEL,11,1014.17295,23047.325,-262.5,-1918.4562834914755,23388.6375,-262.5,-1918.4562834914755,23388.6375,0.0,-1918.4562834914755,23047.325,0.0,-1918.4562834914755,-5.0,89591.25,358365.0
TOP PANEL,12,1217.36412,23388.6375,-262.5,-1918.4562834914755,23729.95,-262.5,-1918.4562834914755,23729.95,0.0,-1918.4562834914755,23388.6375,0.0,-1918.4562834914755,-6.0,89617.5,430164.0
TOP PANEL,13,1217.00754,23729.95,-262.5,-1918.4562834914755,24071.2625,-262.5,-1918.4562834914755,24071.2625,0.0,-1918.4562834914755,23729.95,0.0,-1918.4562834914755,-6.0,89591.25,430038.0
TOP PANEL,14,1014.17295,24071.2625,-262.5,-1918.4562834914755,24412.575,-262.5,-1918.4562834914755,24412.575,0.0,-1918.4562834914755,24071.2625,0.0,-1918.4562834914755,-5.0,89591.25,358365.0
TOP PANEL,15,608.50377,24412.575,-262.5,-1918.4562834914755,24753.8875,-262.5,-1918.4562834914755,24753.8875,0.0,-1918.4562834914755,24412.575,0.0,-1918.4562834914755,-3.0,89591.25,215019.0
TOP PANEL,16,608.50377,24753.8875,-262.5,-1918.4562834914755,25095.2,-262.5,-1918.4562834914755,25095.2,0.0,-1918.4562834914755,24753.8875,0.0,-1918.4562834914755,-3.0,89591.25,215019.0
